Data Year,Age,Pass %,Total
2013,84,100.0,1
2013,83,100.0,1
2013,81,100.0,1
2013,79,50.0,2
2013,76,0.0,2
2013,65,0.0,2
2013,63,75.0,4
2013,62,75.0,4
2013,61,25.0,4
2013,59,50.0,4
2013,58,100.0,2
2013,56,40.0,5
2013,55,0.0,1
2013,53,100.0,2
2013,52,42.86,7
2013,50,100.0,2
2013,49,66.67,6
2013,48,50.0,2
2013,47,100.0,1
2013,45,50.0,2
2013,43,0.0,1
2013,41,100.0,1
2013,40,66.67,6
2013,39,100.0,1
2013,38,0.0,2
2013,37,100.0,5
2013,36,100.0,3
2013,35,0.0,9
2013,34,83.33,6
2013,33,33.85,65
2013,32,37.5,88
2013,31,44.86,107
2013,30,39.18,171
2013,29,38.92,185
2013,28,36.25,240
2013,27,36.74,362
2013,26,37.53,365
2013,25,34.53,472
2013,24,33.57,712
2013,23,36.57,1515
2013,22,35.07,1962
2013,21,34.71,2342
2013,20,34.6,3098
2013,19,31.59,5062
2013,18,31.62,7910
2013,17,30.86,14898
2013,16,33.17,26333
2013,15,33.01,41439
2013,14,32.47,71289
2013,13,37.23,122959
2013,12,37.86,114669
2013,11,42.22,132780
2013,10,42.95,132326
2013,9,41.09,32131
2013,8,54.23,158338
2013,7,53.42,31627
2013,6,67.23,163617
2013,5,68.35,35300
2013,4,75.76,60632
2013,3,80.17,6369
2013,2,77.52,774
2013,1,86.09,568
2013,0,95.18,83
2014,84,100.0,1
2014,82,100.0,1
2014,80,50.0,2
2014,77,100.0,1
2014,75,50.0,2
2014,66,50.0,2
2014,64,100.0,2
2014,63,100.0,4
2014,62,100.0,3
2014,60,80.0,5
2014,59,75.0,4
2014,57,80.0,5
2014,56,100.0,1
2014,54,75.0,4
2014,53,62.5,8
2014,52,0.0,2
2014,51,0.0,2
2014,50,80.0,5
2014,49,0.0,3
2014,48,0.0,1
2014,47,0.0,1
2014,46,50.0,2
2014,44,50.0,4
2014,42,75.0,4
2014,41,50.0,4
2014,40,80.0,5
2014,39,0.0,2
2014,38,55.56,9
2014,37,50.0,4
2014,36,50.0,12
2014,35,60.0,5
2014,34,46.99,83
2014,33,47.67,86
2014,32,43.75,128
2014,31,42.29,227
2014,30,39.07,215
2014,29,41.3,230
2014,28,38.76,338
2014,27,38.0,350
2014,26,39.21,403
2014,25,35.11,655
2014,24,38.75,1409
2014,23,35.38,1775
2014,22,37.69,1982
2014,21,37.99,2577
2014,20,34.79,4039
2014,19,33.14,6315
2014,18,33.48,11789
2014,17,34.55,21201
2014,16,33.1,34092
2014,15,33.82,60802
2014,14,36.03,110678
2014,13,37.61,106145
2014,12,39.94,129305
2014,11,42.49,141305
2014,10,44.29,148811
2014,9,46.42,54630
2014,8,56.61,167436
2014,7,56.99,38765
2014,6,67.65,165930
2014,5,68.19,22364
2014,4,78.16,102300
2014,3,82.74,6448
2014,2,83.08,798
2014,1,84.26,432
2014,0,86.84,114
2015,83,100.0,1
2015,81,100.0,1
2015,76,100.0,1
2015,67,0.0,1
2015,65,33.33,3
2015,64,66.67,3
2015,63,66.67,3
2015,61,50.0,4
2015,60,100.0,2
2015,58,40.0,5
2015,57,100.0,1
2015,55,100.0,2
2015,54,40.0,5
2015,53,0.0,2
2015,51,33.33,3
2015,50,0.0,2
2015,47,75.0,4
2015,45,0.0,1
2015,43,100.0,1
2015,42,100.0,3
2015,41,50.0,2
2015,40,0.0,1
2015,39,25.0,4
2015,38,0.0,1
2015,37,100.0,5
2015,36,25.0,8
2015,35,51.04,96
2015,34,41.88,117
2015,33,37.84,185
2015,32,42.86,266
2015,31,34.47,322
2015,30,41.25,337
2015,29,35.45,347
2015,28,44.41,349
2015,27,39.55,440
2015,26,36.36,671
2015,25,38.96,1340
2015,24,37.29,1719
2015,23,37.65,1801
2015,22,36.66,2223
2015,21,35.86,3394
2015,20,34.03,5163
2015,19,33.36,9708
2015,18,34.16,17822
2015,17,32.48,28801
2015,16,33.21,52874
2015,15,34.63,99966
2015,14,35.77,99100
2015,13,37.72,125710
2015,12,40.48,143368
2015,11,43.72,167221
2015,10,45.0,164658
2015,9,51.57,87807
2015,8,58.26,178216
2015,7,60.24,55673
2015,6,67.37,80394
2015,5,71.42,34625
2015,4,80.04,108963
2015,3,85.46,17136
2015,2,78.77,584
2015,1,80.55,581
2015,0,87.12,132
2016,84,0.0,1
2016,82,0.0,1
2016,78,0.0,1
2016,77,50.0,2
2016,68,100.0,1
2016,66,100.0,1
2016,64,50.0,2
2016,62,0.0,4
2016,61,100.0,2
2016,59,50.0,4
2016,58,0.0,1
2016,56,100.0,2
2016,55,50.0,4
2016,54,0.0,4
2016,53,100.0,1
2016,52,33.33,3
2016,51,0.0,2
2016,50,50.0,2
2016,48,33.33,3
2016,43,50.0,2
2016,42,100.0,1
2016,41,33.33,3
2016,40,50.0,4
2016,39,33.33,3
2016,38,60.0,5
2016,37,60.0,5
2016,36,44.44,90
2016,35,39.66,116
2016,34,39.63,164
2016,33,38.82,255
2016,32,39.61,308
2016,31,33.33,378
2016,30,41.28,436
2016,29,44.69,320
2016,28,35.51,383
2016,27,34.48,583
2016,26,37.51,1197
2016,25,35.02,1525
2016,24,35.29,1411
2016,23,37.47,1684
2016,22,32.69,2469
2016,21,32.13,3660
2016,20,32.96,6759
2016,19,32.57,12143
2016,18,31.33,19477
2016,17,31.21,37192
2016,16,31.5,74330
2016,15,32.88,76542
2016,14,34.06,103779
2016,13,36.87,125021
2016,12,40.35,152021
2016,11,43.27,177427
2016,10,45.08,126911
2016,9,53.29,94246
2016,8,56.41,161313
2016,7,59.69,29081
2016,6,68.47,112069
2016,5,74.33,33221
2016,4,80.08,91310
2016,3,85.18,15954
2016,2,82.61,926
2016,1,81.03,754
2016,0,86.91,191
2017,85,100.0,1
2017,83,100.0,1
2017,78,0.0,1
2017,69,0.0,1
2017,67,100.0,1
2017,65,0.0,2
2017,63,50.0,2
2017,62,50.0,2
2017,60,37.5,8
2017,57,100.0,2
2017,56,100.0,3
2017,55,0.0,4
2017,54,0.0,1
2017,53,66.67,3
2017,52,0.0,2
2017,51,0.0,1
2017,49,33.33,3
2017,46,0.0,1
2017,43,100.0,1
2017,42,50.0,2
2017,41,33.33,3
2017,40,0.0,1
2017,39,0.0,1
2017,38,66.67,3
2017,37,42.99,107
2017,36,45.08,122
2017,35,45.29,170
2017,34,42.59,270
2017,33,40.06,347
2017,32,39.3,374
2017,31,38.35,485
2017,30,40.7,430
2017,29,42.94,340
2017,28,34.49,519
2017,27,36.09,1064
2017,26,35.42,1228
2017,25,38.97,1124
2017,24,38.26,1312
2017,23,34.47,1816
2017,22,35.8,2550
2017,21,33.91,4430
2017,20,35.75,7823
2017,19,33.53,12212
2017,18,32.02,23426
2017,17,32.84,47117
2017,16,33.96,50128
2017,15,33.77,73673
2017,14,35.65,97474
2017,13,38.66,127154
2017,12,41.87,160694
2017,11,46.02,166318
2017,10,47.49,116275
2017,9,53.58,96989
2017,8,56.72,77681
2017,7,61.2,31086
2017,6,71.27,109528
2017,5,75.78,32051
2017,4,80.65,91038
2017,3,85.06,15785
2017,2,81.96,1125
2017,1,83.47,1059
2017,0,84.97,173
2018,86,100.0,1
2018,79,0.0,1
2018,70,100.0,1
2018,68,100.0,1
2018,67,100.0,1
2018,66,50.0,2
2018,64,50.0,2
2018,63,100.0,2
2018,61,100.0,2
2018,58,100.0,2
2018,57,33.33,3
2018,56,0.0,2
2018,54,25.0,4
2018,53,50.0,2
2018,52,100.0,1
2018,50,25.0,4
2018,49,50.0,2
2018,48,0.0,2
2018,46,100.0,1
2018,44,0.0,2
2018,43,0.0,1
2018,42,66.67,3
2018,41,33.33,3
